toy_id,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
21,0.012659973627737188,0.6058858048132053,37.80718336483932,0.2014651595726871,0.03477927898954651,0.8226383956451865,0.0195939610495227,0.01585863432988854,0.4723296226762883,0.36738674990708386,0.0004620000105385969,2.1118423272513618e-13,0.9360665079238877
22,0.012695785239185232,0.6062005247795927,37.80718336483932,0.20143629819676254,0.03477927899947482,0.8229264268346862,0.019593962478792134,0.01585999999733378,0.47250367660144804,0.3673867499557105,0.00046200000003706335,3.1372007712694285e-14,0.6352507583101811
23,0.012071571885295899,0.5969302646192663,37.80718336483932,0.20128992446796795,0.034779278999938816,0.8166832019452047,0.019593994701825025,0.015859997443276503,0.4671613131219157,0.3673867499999462,0.0004620000991429417,6.904112664425124e-13,0.9999999556080905
24,0.012978512839501997,0.6101039911653178,37.80718336483932,0.2014956726623393,0.03477927899882065,0.8256687866684815,0.019593960000000018,0.015859999977887382,0.4747509197757872,0.36738674999961995,0.00046200000000000033,2.7566162253699896e-11,0.9999999968495605
25,0.012722135853593058,0.6066703728550499,37.80718336483932,0.2014854597013013,0.034779278974411465,0.8227655569717527,0.019594090123864594,0.015859999999186757,0.47271318378227584,0.3673867462897708,0.0004620000330944677,4.886294205078593e-13,0.6352507583101811
26,0.012776123585061935,0.6073295011253611,37.80718336483932,0.20145222919769332,0.03477927899914999,0.8237886767953144,0.019593960000000035,0.015859999998188525,0.4731460680358221,0.36738674999974336,0.00046200000000023685,1.5861783395363058e-11,0.9999991723317894
27,0.0125459931871225,0.6040629342696245,37.80718336483932,0.2014024270507792,0.03477927899987296,0.8215454737758621,0.01959396000126747,0.0158599566783552,0.4712585627496168,0.3673867499999959,0.00046200000000006696,3.4952982778853377e-12,1.8581858870636223e-05
28,0.01183574233542008,0.5931730577982365,37.80718336483932,0.2012240346121078,0.03477927607458643,0.8142245237413155,0.01959396024209733,0.015859860311033813,0.4650217937344493,0.36738674875250293,0.0004620002653608224,1.6684397024304046e-11,0.9757475131770867
29,0.013014942373479258,0.6105942705945738,37.80718336483932,0.20150308443233553,0.03477927899597619,0.8260061394834578,0.019593960000000035,0.015859999937590463,0.47503503298579836,0.36738674999869664,0.00046200000000000093,1.0333476033394191e-10,0.9999999911768609
30,0.012479097760795406,0.6039612167788989,37.80718336483932,0.20078459730034082,0.03477915455153864,0.8309339949927704,0.019596690440574223,0.01585975996667131,0.47275373427889794,0.3673867483462812,0.0004620000005662347,1.5335432147964316e-15,0.8445943836131911
31,0.012480449181830491,0.6032068589087713,37.80718336483932,0.20134647630885522,0.03477923117247019,0.8219478840743991,0.019593960010521567,0.015856102737894326,0.47081583553326756,0.367386749990529,0.00046218042729130506,7.988033645808817e-15,0.9719499666056964
32,0.013525869406785818,0.6171867724157281,37.80718336483932,0.20160253823498483,0.0347792789997445,0.8305160206224105,0.019593960004789145,0.015859999999817537,0.4788689588481707,0.3673867499998955,0.0004620000000000065,3.6259341315699935e-12,0.002184373164897724
33,0.012839498866318223,0.6082074264093384,37.80718336483932,0.20146653973151463,0.03477927899997809,0.8243724064209654,0.019593960000000004,0.01585999999971352,0.4736531213250145,0.3673867499999941,0.00046200000000000006,1.7956400685510552e-13,0.0006393341723980317
34,0.012569755905037821,0.6044706143649397,37.80718336483932,0.20141967745968153,0.03477927899967465,0.82176046309048,0.019594014416617362,0.015859770845408724,0.47152582839923807,0.3673867499917199,0.0004620000004314099,3.94468131228171e-13,0.056822601572478315
35,0.01305435353660481,0.6111213844011528,37.80718336483932,0.20151142937691963,0.034779278997020165,0.8263619086701933,0.01959396000000007,0.015859999759157105,0.4753402598851998,0.36738674998974485,0.0004620000000000007,2.1042004426228133e-14,0.9999999827867406
36,0.013132124236999833,0.6121526311019745,37.80718336483932,0.20152632097250853,0.03477927899999833,0.8270780034978724,0.019593960000000004,0.01585999999932452,0.47594025042806,0.36738674999999965,0.00046200000000000006,2.602947287454825e-14,1.4768779371676644e-06
37,0.013141053612337503,0.6122702054709378,37.80718336483932,0.20152810820296335,0.034779278999997866,0.8271583742614304,0.019593960000000004,0.015859999999121542,0.47600852059280824,0.36738674999999954,0.00046200000000000006,2.5576099856239552e-14,0.9999999999999041
38,0.01198681266585169,0.5955945983996388,37.80718336483932,0.20126908907133706,0.03477927899906768,0.8157668376058165,0.019593960032025647,0.01585999999971296,0.4663952441613682,0.36738674999988397,0.00046200000000613144,8.695882815751375e-12,0.9999999997512953
39,0.01193636686262213,0.5947935406497117,37.80718336483932,0.20125359566059842,0.03477927848838999,0.8152701511483283,0.01959396000160105,0.015859926045260618,0.46594078126401695,0.3673867499997931,0.00046200005146002234,1.5158824534251134e-12,0.005368807814337018
40,0.012260791650490084,0.599817148950208,37.80718336483932,0.20137878425326108,0.03477895165219447,0.8173989887320863,0.019593960252605524,0.01585197065018752,0.46879004976773514,0.3673844465469318,0.00046200001530444863,7.7248677486702e-11,0.999891523720324
41,0.012449060725673956,0.60267895316038,37.80718336483932,0.20133209191650805,0.03477927531265373,0.8212662156032022,0.019593960018494536,0.01585977534521322,0.4705588930981639,0.3673867499999988,0.0004620046664092821,1.6825028948801654e-11,0.03110513312649632
42,0.013270772505077319,0.61395982547049,37.80718336483932,0.20155390697368347,0.03477927899965443,0.8283106971615768,0.019593960000000056,0.015859999988335448,0.4769898397553304,0.3673867499998938,0.00046200000000000006,9.964812931820869e-12,0.001538090415439175
43,0.012285657378072593,0.6002159783616924,37.80718336483932,0.20134482683725793,0.03477927895681149,0.8188715505707963,0.019593960003563504,0.015859981533089748,0.46904249990134333,0.3673867499812964,0.00046200000535697724,4.75577836308855e-11,0.004999998936028094
44,0.012931541117663536,0.609467736326357,37.80718336483932,0.20148599478608425,0.03477927899975483,0.8252321164552097,0.019593960000000007,0.01585999999677124,0.47438240415399574,0.3673867499999231,0.0004620000000000001,4.60681658212605e-12,0.9999999991691155
45,0.012509708789694688,0.6035617747586391,37.80718336483932,0.20137049915630417,0.03477927835641725,0.8217033279796292,0.019593961194288034,0.015859880781309205,0.4709927471712591,0.36738674999682075,0.00046200079125805187,5.672555905732338e-12,0.01825177698433278
46,0.01166332937992109,0.5903180313759697,37.80718336483932,0.20118494522317593,0.03477927899982993,0.8121640756419983,0.019593960095147918,0.015859999998399994,0.4633812048752149,0.36738674999834003,0.000462000000000204,4.996385152963119e-12,0.999999997438726
47,0.01293758366246611,0.6095498477385265,37.80718336483932,0.2014872470512586,0.034779278999698085,0.8252884350815938,0.019593960000000007,0.015859999995488767,0.4744299461742717,0.3673867499999048,0.0004620000000000001,5.875792942935373e-12,0.9999999990464646
48,0.012978760175090927,0.6101073354495887,37.80718336483932,0.2014957273771843,0.03477927899889638,0.8256709857507205,0.019593960000000018,0.01585999997818853,0.4747528685374726,0.36738674999964477,0.00046200000000000033,2.6139577278347343e-11,0.9999999968415089
49,0.01348980712616185,0.6167381504059404,37.80718336483932,0.20159576426923398,0.03477927899987744,0.8302099451599539,0.019593960000028297,0.015859999999433515,0.4786074910521788,0.36738674999995735,0.0004620000000000013,1.989533811623949e-12,0.9999999998978605
50,0.01338623552506892,0.6154356981077626,37.80718336483932,0.20157657515471922,0.03477927899744267,0.8293143458125728,0.01959396005303848,0.015859999987080365,0.47784777012442814,0.36738674999945187,0.0004620000000000001,4.880096558014533e-12,0.9999999228974118
51,0.01290989480218644,0.6091729638290718,37.80718336483932,0.20148147792931675,0.03477927899980691,0.8250305212816972,0.01959396000000001,0.015859999998497142,0.474211730389848,0.3673867499999409,0.00046200000000000006,3.0391302119493917e-12,0.9999999992162789
52,0.0130031279666184,0.6104355749488537,37.80718336483932,0.20150069018567424,0.034779278997373035,0.8258968232909044,0.01959396000000003,0.015859999954844564,0.47494306685335314,0.36738674999915033,0.00046200000000000066,6.612486851429447e-11,0.9999999935814121
53,0.01274514360743269,0.6068963597343136,37.80718336483932,0.2014459790198937,0.03477927899908144,0.8234832934424513,0.019593960001538138,0.015859999996636065,0.4728954276764964,0.3673867499897033,0.00046200000005628707,1.0368054847243503e-12,0.9974123219574822
54,0.012804538984832237,0.6077248724017231,37.80718336483932,0.20145784830474942,0.03477927899593847,0.824068078085096,0.019593960000002037,0.015859999994633486,0.47337509937525113,0.3673867499987749,0.0004620000000000049,6.129816939593823e-11,0.9999999709028656
55,0.013201816589553585,0.6130658930293323,37.80718336483932,0.201540263804464,0.034779278999818114,0.8277014924672407,0.019593960000000004,0.015859999993521307,0.4764704445797748,0.36738674999994336,0.00046200000000000006,5.192738604008913e-12,0.9999999998230896
56,0.012629386810336549,0.6054155840448894,37.80718336483932,0.20151329378590616,0.03477927897919532,0.8215906954619943,0.019594209433058472,0.01585592257388775,0.47198989506845296,0.36738674982967345,0.00046203330728748,4.981214777311998e-13,0.9573950668719222
57,0.012494426244907996,0.6033132836380976,37.80718336483932,0.20139177522739787,0.03477927899999795,0.8210126800813907,0.019593960000003602,0.01585999439452049,0.4708261645923741,0.36738674999999993,0.00046200000005442007,2.373630921426149e-14,1.788457278002753e-06
58,0.011880091423951253,0.5938913498190969,37.80718336483932,0.20123606997128515,0.034779277207403266,0.8147009539910288,0.01959396006703939,0.015859910250326105,0.46543145373189787,0.3673867494672311,0.00046200013230328384,2.343396351291011e-12,0.9999569339289033
59,0.012451492480752328,0.6026894952559606,37.80718336483932,0.20137690531058516,0.03477927867160045,0.8206750646905852,0.01959396000084597,0.01585999949867304,0.4704749154807013,0.3673867499999832,0.0004620004137795075,1.1192958966843141e-12,0.999979486045975
60,0.01303039642227228,0.6108017909121316,37.80718336483932,0.20150559914247837,0.03477927899999355,0.8261571013691756,0.019593960000000004,0.015859999999995145,0.47515672928619024,0.3673867499999979,0.00046200000000000006,1.863842076553771e-13,0.999999999986871
61,0.013296498634639033,0.6142900459908855,37.80718336483932,0.20155994450355216,0.034779278821941054,0.8285346058012455,0.01959427557545237,0.01585999999783356,0.4771767280740969,0.36738674992613984,0.0004620000000000535,3.6895194875927774e-12,0.999928508493303
62,0.013241711477698398,0.6135842054994609,37.80718336483932,0.20154821979783288,0.0347792789998299,0.8280538734460021,0.01959396000000001,0.015859999993688152,0.47677151291483094,0.3673867499999481,0.00046200000000000006,4.653662542034536e-12,0.0010722910405792652
63,0.01311056432883901,0.6118681298265846,37.80718336483932,0.20152195507040094,0.03477927899999192,0.826884145552507,0.019593960000000004,0.015859999999635773,0.47577518474409203,0.36738674999999743,0.00046200000000000006,2.382303652259508e-13,0.9999999999904993
64,0.012302388649084782,0.6004702373662315,37.80718336483932,0.2013459570247183,0.034779278990449,0.8190971220666194,0.019593960000000982,0.015859990502485717,0.4691917566972138,0.3673867499994941,0.00046200005091437575,4.0348187948246245e-11,0.025050832909451093
65,0.012590202365259616,0.604725396145099,37.80718336483932,0.2014111379069948,0.03477927899976413,0.8220790307222335,0.01959418090673368,0.015859911773858787,0.4716587189909386,0.36738674999999993,0.0004620420120871152,1.1626485501252069e-14,0.9891560857783861
66,0.012543542672462944,0.6040245150113883,37.80718336483932,0.20140531866081088,0.034779278997420685,0.821434299708306,0.019593960027533497,0.015859558760220733,0.471232454594375,0.3673867499998438,0.0004620000000754898,1.5548754508992082e-11,0.9999753886143647
67,0.012667629386903094,0.6060446437253945,37.80718336483932,0.2014878809502599,0.03477927898456648,0.8226705976819386,0.019594188924299826,0.015857583166415334,0.47239455238091144,0.3673867498296035,0.0004620000177621185,1.0319659792955269e-13,0.9197836599360176
68,0.012772914327716186,0.6072847693364158,37.80718336483932,0.2014515353513606,0.034779278999472446,0.8237578358998701,0.019593960000000032,0.01585999999900771,0.47312028699259706,0.36738674999984355,0.0004620000000001833,9.869464601879711e-12,0.9999993553594558
69,0.013043961213718595,0.6109825650943298,37.80718336483932,0.20150892675623297,0.03477927899971982,0.8262730993162597,0.019593960000000004,0.015859999934398895,0.47525992949618545,0.36738674999994003,0.00046200000000000006,4.675081547331682e-12,3.922164095615521e-05
70,0.012803834005346746,0.6077151045453677,37.80718336483932,0.201457694452732,0.03477927899611477,0.8240613925751012,0.01959396000000198,0.015859999994914314,0.4733694800859496,0.3673867499988289,0.0004620000000000063,5.849699721410784e-11,0.9999999859285843
71,0.012441726459132125,0.6025500028162913,37.80718336483932,0.20137208231452422,0.034779278985206726,0.8206395578098854,0.019593960015346804,0.015859971352190284,0.4703964756937595,0.36738674999998927,0.00046200044932516953,1.4390421260274411e-11,0.8783638209050448
72,0.012412937417879388,0.6021146194085623,37.80718336483932,0.20137652205209572,0.034779278999708396,0.8201320363576459,0.01959396000003058,0.01585999599980758,0.47013172101340445,0.3673867499999999,0.00046200000171719817,4.982218936064835e-14,0.9999999507865603
73,0.012242439927835354,0.5995631481381984,37.80718336483932,0.20133227151867353,0.03477927899016345,0.8184667955922393,0.01959396000000002,0.015859999955990967,0.46867011559622634,0.3673867499985774,0.00046200000119701775,3.3217738435166205e-13,0.005027862131641525
74,0.01220417379319734,0.5989789736407494,37.80718336483932,0.20132445462677587,0.034779278979646805,0.8180505408051367,0.01959396000000211,0.015859999991810685,0.46833163339103034,0.3673867499314166,0.00046200000180564034,1.3958625676672603e-15,0.999999999805462
75,0.013014132650414807,0.6105838586035408,37.80718336483932,0.20150222019252928,0.034779278999993335,0.8260090088865129,0.019593960000000004,0.015859999999997206,0.4750304603426194,0.36738674999999776,0.00046200000000000006,1.8556360748000324e-13,0.0016886365733322917
76,0.012786069613143537,0.607468174077662,37.80718336483932,0.20145407029148604,0.034779278999091924,0.8238882268952369,0.01959396000000093,0.01585999999905213,0.4732266165108718,0.3673867499997262,0.00046200000000000006,1.265582069273218e-11,0.008421892087593585
77,0.01322491249067727,0.6133664012100996,37.80718336483932,0.20154482714415434,0.03477927899997937,0.8279069883492854,0.019593960000000004,0.01585999999188013,0.4766450156814962,0.3673867499999959,0.00046200000000000006,2.4537276438148993e-13,0.999999999999244
78,0.012261315437558417,0.5998493862646123,37.80718336483932,0.2013369848747966,0.03477927899983181,0.8186586180111864,0.019593960000000004,0.015859999996317185,0.4688341972801286,0.36738674999998666,0.00046200000001043947,4.385238498984117e-13,0.99999999998438
79,0.013083873739225734,0.6115145869498142,37.80718336483932,0.20151652857039226,0.03477927899999997,0.826643217561663,0.019593960000000004,0.01585999999997232,0.47557008563604114,0.36738674999999993,0.00046200000000000006,2.389897514634575e-14,1.3969604095720456e-06
80,0.013137773431338038,0.6122270471804105,37.80718336483932,0.2015274427292245,0.034779278999979214,0.8271290252932144,0.019593960000000004,0.015859999999000375,0.4759834832735331,0.36738674999999354,0.00046200000000000006,5.717747088393275e-13,0.9999999999765623
81,0.012625334501263115,0.6058491897410843,37.80718336483932,0.20156020378776132,0.034779278970595365,0.8229311342070796,0.01959557308003527,0.015859996560729783,0.47231310913594016,0.3673867469731233,0.00046200000348165703,4.332492409855473e-13,0.6232190806973512
82,0.012278779834845202,0.6001121703442267,37.80718336483932,0.20134318929643094,0.03477927887885669,0.8188007476244016,0.019593960003809367,0.015859979166820748,0.4689829179943175,0.36738674954136,0.0004620000049892328,4.351474434579829e-11,0.004999999000151689
83,0.012649647424820595,0.6057900334092491,37.80718336483932,0.20147952254366897,0.03477927898833684,0.8223531170648349,0.01959420409534123,0.015858081084165344,0.4722507676264385,0.36738674986834496,0.0004620144935917403,7.349849719764824e-14,0.9321772892101339
84,0.012185164840003456,0.5986884421442515,37.80718336483932,0.20132002362118348,0.034779278999994626,0.8178309634307038,0.01959396057107477,0.015859999128560707,0.4681701477805517,0.36738674995637816,0.0004620020353324904,9.858571363427307e-16,0.999999033103804
85,0.012669877468190476,0.6059579065620961,37.80718336483932,0.20144354321779503,0.03477927899408403,0.8229836121193308,0.01959426972657762,0.01585809732558153,0.4723710471806829,0.3673867499995435,0.00046200000491997974,2.412935686950246e-13,0.081592918879684
86,0.013741263072754311,0.6198175038222155,37.80718336483932,0.20164059766014727,0.03477927899986126,0.832337969929954,0.019593960000147487,0.015859999999985438,0.480406278725546,0.36738674999998217,0.00046200000000000006,4.451739815501414e-12,0.9999999989287877
87,0.013082111880047776,0.6114911969741098,37.80718336483932,0.20151617361177676,0.03477927899999712,0.8266271857283995,0.019593960000000004,0.01585999999994226,0.475556521288885,0.36738674999999904,0.00046200000000000006,1.0149385578398249e-13,0.9999999999954139
88,0.012961839697673226,0.6098786772230571,37.80718336483932,0.2014922611452912,0.03477927899933547,0.8255138510961922,0.019593960000000014,0.015859999987459485,0.47462039552234264,0.36738674999978727,0.0004620000000000002,1.4610204027499674e-11,0.9999999979968407
89,0.013075963797326975,0.6114095331621319,37.80718336483932,0.20151491861511286,0.03477927899999733,0.8265715497373227,0.019593960000000004,0.015859999999973846,0.4755091576862855,0.3673867499999991,0.00046200000000000006,9.658026491813138e-14,0.00018483945777125754
90,0.013381350914604826,0.6153737232444657,37.80718336483932,0.20157573434513185,0.03477927899800444,0.8292707000171916,0.01959396020070597,0.015859999976825537,0.47781148435964094,0.36738674999947923,0.00046200000000000017,3.0562897508599245e-12,0.9999998578961917
91,0.013636778486513068,0.6185538991446088,37.80718336483932,0.20161912793135134,0.03477927893265044,0.8315288985102328,0.019593962149274655,0.015859999784242382,0.4796695713410777,0.36738674998121007,0.0004620000000001399,1.5441583600461654e-11,0.9336670635043895
92,0.012967353748821702,0.6099532697313998,37.80718336483932,0.20149338115065815,0.0347792789991654,0.8255653117628499,0.019593960000000014,0.015859999984564197,0.47466362300726067,0.367386749999732,0.0004620000000000002,1.8673705527424587e-11,0.9999999976968901
93,0.012857079702860829,0.6084495675104293,37.80718336483932,0.2014702937159963,0.034779278999951924,0.8245373327284776,0.019593960000000007,0.015859999999519078,0.47379317540568183,0.3673867499999865,0.00046200000000000006,4.900040779559231e-13,0.9999999998121086
94,0.012545095014336614,0.6042531993444447,37.80718336483932,0.2014329730644928,0.03477927891945168,0.8218015940162117,0.01959590361594323,0.01586,0.47142291929814517,0.36738674999999993,0.0004620000086231315,3.2876985701079675e-15,0.9018547671745496
95,0.012899696958739647,0.6090337359856817,37.80718336483932,0.2014793468742273,0.03477927899982668,0.8249352366748125,0.01959396000000001,0.01585999999872958,0.4741311208501527,0.36738674999994775,0.00046200000000000006,2.519285004197246e-12,0.0013052686419204873
96,0.01213255468066159,0.5978796586603775,37.80718336483932,0.20130362856460604,0.03477927899999999,0.8173565814143366,0.019593960006934242,0.015859999963854704,0.46770638949248433,0.3673867499996574,0.00046200000031544885,6.614255430030147e-12,0.9999999999917899
97,0.012173031576714522,0.5984866085394432,37.80718336483932,0.2013344103177204,0.03477927895864763,0.8172198801646029,0.0195939600066404,0.01585763884505291,0.46804007119719826,0.3673867499666401,0.00046200035534941895,7.089158547254057e-13,0.04013213370964974
98,0.012436473200917779,0.6024732298595378,37.80718336483932,0.20137039876108168,0.03477927897462733,0.8205969315759561,0.019593960016264476,0.015859966832408433,0.4703529621019324,0.3673867499999842,0.00046200054909928585,2.9518712757071587e-11,0.8865427813706996
99,0.012656436818989389,0.6058197899672567,37.80718336483932,0.20146007584440154,0.034779278991206426,0.8226682709905516,0.019593961047260123,0.015857978873385307,0.4722909923314392,0.3673867499350232,0.0004620000090277916,1.9433710720246995e-13,0.9399972736418756
