file,gas_mixture,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,electric_field,gap_mm,pressure,npe,ne,ne_std,ni,ni_std,n_entries,CF4,ErrCF4,Ar_1s4_1s5,ErrAr_1s4_1s5,Ar_1s2_1s3,ErrAr_1s2_1s3,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
ar_99.0_cf4_1.0_0.8kVcm_0.050bar_13.8938mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,0.8,13.8938,0.05,100.0,77.86,76.16449768147038,80.08,79.02188419557068,100,0.0,0.0,50782.0,225.3486188109437,37753.0,194.30131239906746,46583.0,215.83095236781958,407.0,20.174241001832016,0.0,0.0,32031.0,178.97206485929584,32031.0,178.97206485929584,30970.0,175.9829537199555,37087.0,192.57985356729296,32031.0,178.97206485929584,34319.0,185.25387985140824
ar_99.0_cf4_1.0_0.8kVcm_0.050bar_13.8938mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,0.8,13.8938,0.05,,77.86,76.16449768147038,80.08,79.02188419557068,100,0.0,0.0,50782.0,225.3486188109437,37753.0,194.30131239906746,46583.0,215.83095236781958,407.0,20.174241001832016,0.0,0.0,32031.0,178.97206485929584,32031.0,178.97206485929584,30970.0,175.9829537199555,37087.0,192.57985356729296,32031.0,178.97206485929584,34319.0,185.25387985140824
ar_99.0_cf4_1.0_730.5kVcm_1.000bar_0.0036mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,730.5,0.0036,1.0,100.0,21.13,16.922673213380584,19.55,16.42329892179849,100,0.0,0.0,72.0,8.48528137423857,200.0,14.142135623730951,496.0,22.271057451320086,9.0,3.0,57.0,7.54983443527075,425.0,20.615528128088304,425.0,20.615528128088304,417.0,20.42057785666214,452.0,21.2602916254693,425.0,20.615528128088304,437.0,20.904544960366874
ar_99.0_cf4_1.0_533.7kVcm_1.000bar_0.0046mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,533.7,0.0046,1.0,100.0,40.45,22.642756997425124,38.76,22.08849053560279,100,0.0,0.0,222.0,14.89966442575134,487.0,22.06807649071391,1168.0,34.17601498127012,22.0,4.69041575982343,68.0,8.246211251235321,965.0,31.064449134018133,965.0,31.064449134018133,954.0,30.886890422961002,1059.0,32.54228019054596,965.0,31.064449134018133,1010.0,31.78049716414141
ar_99.0_cf4_1.0_389.9kVcm_1.000bar_0.0060mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,389.9,0.006,1.0,100.0,63.32,31.574788561877543,61.7,31.297368140552212,100,0.0,0.0,415.0,20.37154878746336,806.0,28.39013913315678,2070.0,45.4972526643093,27.0,5.196152422706632,62.0,7.874007874011811,1646.0,40.570925550201586,1646.0,40.570925550201586,1623.0,40.28647415696737,1849.0,43.0,1646.0,40.570925550201586,1756.0,41.90465367951393
ar_99.0_cf4_1.0_316.2kVcm_1.000bar_0.0074mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,316.2,0.0074,1.0,100.0,84.37,40.77993540104167,82.66,40.55329950830266,100,0.0,0.0,720.0,26.832815729997478,1204.0,34.698703145794944,3303.0,57.47173218200405,52.0,7.211102550927978,70.0,8.366600265340756,2623.0,51.21523210920751,2623.0,51.21523210920751,2583.0,50.82322303829225,2936.0,54.18486873657626,2623.0,51.21523210920751,2773.0,52.65928218272634
ar_99.0_cf4_1.0_284.8kVcm_1.000bar_0.0080mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,284.8,0.008,1.0,100.0,87.39,42.432333535794726,85.93,42.29890153073802,100,0.0,0.0,811.0,28.478061731796284,1384.0,37.20215047547655,3604.0,60.03332407921454,38.0,6.164414002968976,45.0,6.708203932499369,2835.0,53.24471804789655,2835.0,53.24471804789655,2792.0,52.839379254491625,3201.0,56.57738063926254,2835.0,53.24471804789655,2993.0,54.70831746635972
ar_99.0_cf4_1.0_231.0kVcm_1.000bar_0.0096mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,231.0,0.0096,1.0,100.0,97.97,37.99507012146909,96.72,37.911401232799925,100,0.0,0.0,1188.0,34.46737587922817,1673.0,40.90232267243512,4507.0,67.1341939699882,43.0,6.557438524302,24.0,4.898979485566356,3462.0,58.8387627334226,3462.0,58.8387627334226,3406.0,58.360945845659494,3926.0,62.65780079128216,3462.0,58.8387627334226,3690.0,60.74537019394976
ar_99.0_cf4_1.0_208.1kVcm_1.000bar_0.0107mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,208.1,0.0107,1.0,100.0,101.78,46.48222860145128,100.55,46.418251156242846,100,0.0,0.0,1299.0,36.0416425818802,2001.0,44.73253849269008,5248.0,72.44308110509934,45.0,6.708203932499369,23.0,4.795831523312719,4110.0,64.10928169929842,4110.0,64.10928169929842,4045.0,63.60031446463138,4612.0,67.91170738539859,4110.0,64.10928169929842,4341.0,65.88626564011653
ar_99.0_cf4_1.0_168.8kVcm_1.000bar_0.0129mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,168.8,0.0129,1.0,100.0,106.21,49.67638607359974,105.07,49.57134538045425,100,0.0,0.0,1628.0,40.34848200366403,2316.0,48.12483766206386,6122.0,78.24321056807422,65.0,8.06225774829855,14.0,3.7416573867739413,4696.0,68.52736679604726,4696.0,68.52736679604726,4625.0,68.00735254367721,5298.0,72.78736154031138,4696.0,68.52736679604726,4995.0,70.67531393633848
ar_99.0_cf4_1.0_152.0kVcm_1.000bar_0.0146mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,152.0,0.0146,1.0,100.0,109.42,61.05274752046775,108.29,61.016357303479346,100,0.0,0.0,1877.0,43.32435804486894,2550.0,50.49752469181039,6604.0,81.26499861564018,71.0,8.426149773176359,14.0,3.7416573867739413,5122.0,71.56814934033156,5122.0,71.56814934033156,5021.0,70.8590149522275,5771.0,75.9670981412348,5122.0,71.56814934033156,5420.0,73.62064927722385
ar_99.0_cf4_1.0_123.3kVcm_1.000bar_0.0179mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,123.3,0.0179,1.0,100.0,101.31,46.58167476854417,100.27,46.54396314293084,100,0.0,0.0,2211.0,47.02127178203499,2775.0,52.67826876426369,7217.0,84.95292814258964,62.0,7.874007874011811,4.0,2.0,5504.0,74.18894796396563,5504.0,74.18894796396563,5393.0,73.43704787094863,6240.0,78.99367063252599,5504.0,74.18894796396563,5855.0,76.51797174520506
