concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
1.0,2.3,1.3952,0.05,111.59,110.76,0.4570301998386952,0.06399702866334663,164.45021955372346,1.2139605955597064,0.026884129402276188,0.015521559347332889,0.0,0.0,121.28326911013531,1.0425281932379518,121.28326911013531,1.0425281932379518,137.13594408101085,1.1085697191091481,137.13594408101085,1.1085697191091481,121.28326911013531,1.0425281932379518,128.91836186038174,1.0748423020120936
1.0,2.3,1.3967,0.05,105.4,104.51,0.49335863377609107,0.06841653274125216,161.49905123339659,1.2378404836389263,0.03795066413662239,0.018975332068311195,0.0,0.0,118.96584440227703,1.0624067964579875,118.96584440227703,1.0624067964579875,135.7020872865275,1.1346788463315975,135.7020872865275,1.1346788463315975,118.96584440227703,1.0624067964579875,127.25806451612902,1.0988093630298474
1.0,2.3,1.3967,0.05,105.4,104.51,0.49335863377609107,0.06841653274125216,161.49905123339659,1.2378404836389263,0.03795066413662239,0.018975332068311195,0.0,0.0,118.96584440227703,1.0624067964579875,118.96584440227703,1.0624067964579875,135.7020872865275,1.1346788463315975,135.7020872865275,1.1346788463315975,118.96584440227703,1.0624067964579875,127.25806451612902,1.0988093630298474
1.0,3.5,0.7054,0.05,75.28,74.3,0.5844845908607864,0.08811436743770988,113.04463336875664,1.2254205797820203,0.039851222104144525,0.023008113809363406,0.0,0.0,84.88310308182784,1.0618686977529936,84.88310308182784,1.0618686977529936,95.49681190223167,1.1263014193002907,95.49681190223167,1.1263014193002907,84.88310308182784,1.0618686977529936,89.91764080765144,1.0929055883143806
1.0,3.5,0.7054,0.05,75.28,74.3,0.5844845908607864,0.08811436743770988,113.04463336875664,1.2254205797820203,0.039851222104144525,0.023008113809363406,0.0,0.0,84.88310308182784,1.0618686977529936,84.88310308182784,1.0618686977529936,95.49681190223167,1.1263014193002907,95.49681190223167,1.1263014193002907,84.88310308182784,1.0618686977529936,89.91764080765144,1.0929055883143806
1.0,3.9,0.6076,0.05,82.84,81.85,0.48285852245292127,0.07634663592873925,104.53887011105746,1.1233597415868508,0.07242877836793819,0.029568924949096787,0.0,0.0,78.60936745533559,0.974130420175375,78.60936745533559,0.974130420175375,89.00289715113472,1.0365303590877863,89.00289715113472,1.0365303590877863,78.60936745533559,0.974130420175375,83.63109608884596,1.0047634981499185
1.0,3.9,0.6076,0.05,82.84,81.85,0.48285852245292127,0.07634663592873925,104.53887011105746,1.1233597415868508,0.07242877836793819,0.029568924949096787,0.0,0.0,78.60936745533559,0.974130420175375,78.60936745533559,0.974130420175375,89.00289715113472,1.0365303590877863,89.00289715113472,1.0365303590877863,78.60936745533559,0.974130420175375,83.63109608884596,1.0047634981499185
1.0,4.1,0.57,0.05,81.03,80.05,0.5676909786498827,0.08370146838362666,100.72812538565964,1.1149424636914953,0.024682216463038382,0.017452962635728684,0.0,0.0,75.95952116500061,0.9682069365128744,75.95952116500061,0.9682069365128744,86.09157102307788,1.030759620773595,86.09157102307788,1.030759620773595,75.95952116500061,0.9682069365128744,80.80957669998766,0.9986389398565425
1.0,4.1,0.57,0.05,81.03,80.05,0.5676909786498827,0.08370146838362666,100.72812538565964,1.1149424636914953,0.024682216463038382,0.017452962635728684,0.0,0.0,75.95952116500061,0.9682069365128744,75.95952116500061,0.9682069365128744,86.09157102307788,1.030759620773595,86.09157102307788,1.030759620773595,75.95952116500061,0.9682069365128744,80.80957669998766,0.9986389398565425
1.0,5.3,0.4023,0.05,82.31,81.32,0.5467136435427044,0.08149925807920506,79.54076053942413,0.9830340675080768,0.08504434455108735,0.032143740870666876,0.0,0.0,60.74596039363382,0.8590776104805583,60.74596039363382,0.8590776104805583,68.39995140323168,0.9115942890197579,68.39995140323168,0.9115942890197579,60.74596039363382,0.8590776104805583,64.28137528854332,0.883723245968574
