concentration,electric_field,gap_mm,pressure,ne,ni,CF3,ErrCF3
1.0,43.3,0.075,1.0,93.34,92.55,1.403471180629955,0.1226218463923248
1.0,432.9,0.0077,10.0,94.12,93.31,1.4237144071398213,0.12299019233733771
1.0,44.1,0.05,0.2,96.89,95.54,0.4128393023015791,0.06527562514538919
1.0,446.7,0.007,10.0,77.95,77.14,1.6164207825529184,0.14400220859938195
1.0,48.1,0.0638,1.0,108.64,107.78,1.3715022091310751,0.11235783887825572
1.0,480.6,0.0065,10.0,112.19,111.33,1.381584811480524,0.11097156250992721
1.0,490.8,0.0062,10.0,109.39,108.57,1.1609836365298474,0.10302063872003514
1.0,5.3,0.4023,0.05,82.31,81.32,0.7168023326448791,0.09331971507555106
1.0,5.3,0.4023,0.05,82.31,81.32,0.7168023326448791,0.09331971507555106
1.0,501.2,0.0056,10.0,72.17,71.26,1.482610502979077,0.14332936722722187
1.0,533.7,0.0046,1.0,40.45,38.76,0.5438813349814585,0.11595589023049269
1.0,533.7,0.0055,10.0,97.41,96.51,1.077918078226055,0.10519403311733495
1.0,54.8,0.05,1.0,88.69,87.78,1.1049723756906078,0.11161906569637688
1.0,562.3,0.0046,10.0,70.07,69.17,1.2130726416440702,0.1315762017595674
1.0,568.3,0.005,10.0,104.33,103.38,0.9776670181155948,0.09680345958364878
1.0,59.3,0.0456,1.0,94.61,93.72,1.1732375013212135,0.11135877552957127
1.0,592.6,0.0047,10.0,109.64,108.67,1.2221816855162349,0.10558041684412829
1.0,6.6,0.3175,0.05,79.46,78.46,0.4153032972564813,0.07229502449708065
1.0,6.6,0.3175,0.05,79.46,78.46,0.4153032972564813,0.07229502449708065
1.0,65.8,0.1059,0.05,112.09,106.23,0.3836203051119636,0.05850154808013204
1.0,65.8,0.1059,0.05,112.09,106.23,0.3836203051119636,0.05850154808013204
1.0,65.8,0.0393,1.0,86.17,85.24,1.1256817918068933,0.11429566904718699
1.0,657.9,0.004,10.0,103.92,102.99,1.1354888375673595,0.10453022027713833
1.0,730.5,0.0036,1.0,21.13,19.55,0.42593469001419787,0.14197823000473261
1.0,761.8,0.0032,10.0,99.04,98.12,1.0096930533117932,0.10096930533117932
1.0,8.1,0.2562,0.05,72.19,71.11,0.5956503670868541,0.09083582939883642
1.0,8.1,0.2562,0.05,72.19,71.11,0.5956503670868541,0.09083582939883642
1.0,81.1,0.0298,1.0,103.19,102.21,0.784959782924702,0.08721775365830023
1.0,882.0,0.0026,10.0,95.21,94.21,0.7142106921541855,0.08661076831462369
1.0,97.9,0.6667,10.0,52.1,87.72,17.83109404990403,0.5850192189684519
0.5,17.4,0.57,1.0,97.5,97.91,1.8871794871794871,0.13912471760256961
0.5,184.5,0.05,10.0,124.21,124.77,1.851702761452379,0.12209766434347558
0.5,4.5,0.57,0.05,156.94,155.95,0.4269147444883395,0.05215593712165446
0.5,44.3,0.05,0.2,98.01,96.79,0.24487297214569942,0.04998448612964346
0.5,55.9,0.05,1.0,94.27,93.33,0.6046462289169408,0.08008734947778455
0.5,96.8,0.57,10.0,84.3,104.67,7.508896797153025,0.2984518535091133
0.2,17.3,0.57,1.0,93.3,92.98,0.8252947481243301,0.09405106524536037
0.2,181.7,0.05,10.0,103.7,103.25,0.819672131147541,0.08890592533551482
0.2,4.3,0.57,0.05,114.92,113.9,0.1392272885485555,0.03480682213713888
0.2,44.3,0.05,0.2,101.32,100.02,0.15791551519936836,0.03947887879984209
0.2,56.3,0.05,1.0,103.95,102.97,0.31746031746031744,0.055262747922443754
0.2,95.5,0.57,10.0,144.05,156.34,2.651856994099271,0.13568080725922987
0.1,17.2,0.57,1.0,92.13,91.4,0.3798979702594161,0.06421447718549458
0.1,180.8,0.05,10.0,92.45,91.68,0.2920497566252028,0.05620500186810851
0.1,4.3,0.57,0.05,120.24,119.24,0.0998003992015968,0.028809893672137012
0.1,44.5,0.05,0.2,97.4,96.13,0.0513347022587269,0.02295757677104507
0.1,55.6,0.05,1.0,87.55,86.56,0.12564249000571104,0.037882636097720156
0.1,95.4,0.57,10.0,218.4,226.79,1.0989010989010988,0.07093376091954975
100.0,358.4,0.57,10.0,2882.86,25091.95,2488.8877711716837,0.9291608032977001
100.0,39.4,0.57,1.0,92.87,203.97,580.5642295682136,2.500272903309158
100.0,400.2,0.05,10.0,129.15,257.92,514.6418892760356,1.9962060206249288
100.0,47.7,0.05,0.2,101.45,100.5,67.4913750616067,0.815639242372174
100.0,6.0,0.57,0.05,340.29,344.47,114.8197125980781,0.580876269093107
100.0,73.9,0.05,1.0,97.03,101.94,167.46367102957848,1.313733540727317
