wavelength_nm,0.1_percent_N2_ph_MeV_nm,1_percent_N2_ph_MeV_nm,10_percent_N2_ph_MeV_nm,100_percent_N2_ph_MeV_nm
740.2201100550276,0.010341182489687899,0.009773713321118796,0.006129311005850854,0.0
740.4702351175588,0.0140424338117171,0.013278915605954917,0.008335686506910654,0.0
740.7203601800901,0.018937247540764923,0.017912169819445187,0.011249471858163952,0.0
740.9704852426214,0.0253484172981511,0.023979250493051704,0.015063230269328305,0.0
741.2206103051526,0.03366878301994738,0.03185208270752259,0.020010949095087504,0.0
741.4707353676838,0.04437009255563699,0.041977161973431466,0.026373371822703866,0.0
741.7208604302152,0.058011297273409285,0.0548834284055638,0.034482975338854055,0.0
741.9709854927464,0.0752456106952161,0.07118896308980877,0.04472819845611575,0.0
742.2211105552776,0.09682553057043586,0.09160575221145978,0.05755645006689536,0.0
742.4712356178089,0.12360491161134667,0.1169416569138923,0.07347535708883841,0.0
742.7213606803402,0.1565370927918756,0.14809864762401026,0.09305166211681043,0.0
742.9714857428714,0.19666804573106228,0.18606632590726244,0.1169071579248433,0.0
743.2216108054027,0.24512353587547678,0.23190978051696304,0.14571106052092905,0.0
743.4717358679341,0.30308939167103516,0.28675092202782865,0.18016828365868262,0.0
743.7218609304653,0.37178417167716626,0.3517426245804764,0.22100319325789422,0.0
743.9719859929965,0.4524238139253248,0.4280352816537195,0.2689385949948368,0.0
744.2221110555279,0.546178247345235,0.5167357569161751,0.3246699433194609,0.0
744.4722361180591,0.6541204348207984,0.6188591745005965,0.3888350511931171,0.0
744.7223611805903,0.7771688845336815,0.7352745295370958,0.4619799168852016,0.0
744.9724862431216,0.9160252832809195,0.8666456835237859,0.5445216509095877,0.0
745.2226113056529,1.0711095347499267,1.0133699044686253,0.6367098602268954,0.0
745.4727363681841,1.2424950807998592,1.1755166747078567,0.7385882005395484,0.0
745.7228614307154,1.429847891969493,1.3527699700676201,0.8499581095531918,0.0
745.9729864932467,1.6323728796615693,1.5443775605034846,0.9703469517427444,0.0
746.2231115557779,1.8487716540720283,1.7491110446936269,1.09898290712856,0.0
746.4732366183092,2.0772154839783323,1.9652402667331408,1.234778896102618,0.0
746.7233616808405,2.315336975206686,2.1905254420184557,1.3763276305512027,0.0
746.9734867433717,2.560243360362562,2.4222297287464096,1.5219095102988347,0.0
747.2236118059029,2.8085533916926044,2.65715412917501,1.6695145482562106,0.0
747.4737368684342,3.0564586845262394,2.891695521898208,1.8168788270484117,0.0
747.7238619309655,3.2998090277757295,3.1219273669276957,1.9615351982650466,0.0
747.9739869934967,3.5342197396616566,3.3437012642628496,2.100877079845849,0.0
748.224112056028,3.755197697647338,3.5527661751021227,2.232233344775653,0.0
748.4742371185594,3.958281318243197,3.744900833842749,2.35295148857784,0.0
748.7243621810906,4.139188613191912,3.9160537909520374,2.4604855783519786,0.0
748.9744872436219,4.293966603843651,4.062484726482871,2.5524849817917334,0.0
749.2246123061532,4.41913491797991,4.180900239622821,2.6268795997719034,0.0
749.4747373686844,4.511816379506378,4.268577304647572,2.681957314186428,0.0
749.7248624312156,4.569847855206287,4.323468010525799,2.7164296278091724,0.0
749.9749874937469,4.5918655316376356,4.344280058307304,2.7294820074751747,0.0
750.2251125562782,4.577360109951454,4.330528730603505,2.720806216419391,0.0
750.4752376188094,4.5266990438438315,4.282557592333444,2.6906128867443613,0.0
750.7253626813407,4.441114795578108,4.201526926989462,2.639623673115684,0.0
750.975487743872,4.3226600182264105,4.0893707362243354,2.5690434675442066,0.0
751.2256128064032,4.174132452684098,3.948724903838321,2.480514261891121,0.0
751.4757378689345,3.9989740233766917,3.7828307234970815,2.3760532415910998,0.0
751.7258629314658,3.8011500098099726,3.595419302473604,2.2579785124115666,0.0
751.975987993997,3.5850151697311494,3.3905832945979166,2.128826448242405,0.0
752.2261130565282,3.355174232789217,3.1726429277428427,1.9912649675178808,0.0
752.4762381190596,3.1163442457211983,2.946013351601428,1.8480070859409965,0.0
752.7263631815908,2.873225841618583,2.7150799513655537,1.701728862419262,0.0
752.976488244122,2.630389670139065,2.4840874947192813,1.5549953821316245,0.0
753.2266133066533,2.392183033486147,2.257047871870109,1.4101977504419574,0.0
753.4767383691847,2.1626603152996973,2.037669838399038,1.2695032605869887,0.0
753.7268634317159,1.945539168345028,1.829312676211975,1.1348200095364827,0.0
753.9769884942472,1.744182746746564,1.6349641484955717,1.007776333584303,0.0
754.2271135567785,1.5616066291069541,1.4572416344336334,0.8897145770358701,0.0
754.4772386193097,1.4005075685692183,1.298413970968143,0.7816979440991962,0.0
754.7273636818409,1.2633098978032018,1.1604403687601348,0.6845285544766039,0.0
754.9774887443723,1.1522243668922276,1.0450218565899052,0.5987743527922563,0.0
755.2276138069035,1.069313438974733,0.9536600738514722,0.5248022232463222,0.0
755.4777388694347,1.0165566357181315,0.8877178895378367,0.46281453395293537,0.0
755.727863931966,0.9959094230527525,0.8484762797944618,0.4128863702995336,0.0
755.9779889944973,1.009349358055636,0.8371821361048905,0.37500089567906836,0.0
756.2281140570285,1.0589037740910172,0.8550821865693866,0.3490805784462169,0.0
756.4782391195598,1.1466541509402666,0.9034389725383968,0.3350124207919288,0.0
756.7283641820911,1.2747134813974443,0.9835258070602361,0.33266579284907793,0.0
756.9784892446223,1.4451743800039514,1.0965988210205926,0.3419019891527166,0.0
757.2286143071536,1.6600273476000875,1.2438455428750785,0.3625751617262603,0.0
757.478739369685,1.9210504582975443,1.4263109164444383,0.39452482353860824,0.0
757.7288644322161,2.229673708037244,1.6448031866608424,0.4375606383689654,0.0
757.9789894947473,2.5868232721872997,1.8997836123783167,0.4914406996274932,0.0
758.2291145572786,2.9927528608088725,2.1912454234855288,0.5558449331424024,0.0
758.47923961981,3.446871114682526,2.5185887410404035,0.6303456190616961,0.0
758.7293646823412,3.9475754218622563,2.8804992311882205,0.7143772976438278,0.0
758.9794897448725,4.492103519183468,3.2748389718235535,0.807208485372649,0.0
759.2296148074038,5.076414649492562,3.6985582869589995,0.9079176660066118,0.0
759.479739869935,5.6951117679478855,4.147637074359359,1.0153759239280877,0.0
759.7298649324663,6.341415258467559,4.617063368694866,1.1282383480654898,0.0
759.9799899949976,7.007196810139554,5.100855530519309,1.2449459547145976,0.0
760.2301150575288,7.683079545820641,5.592132556879733,1.363739366793324,0.0
760.48024012006,8.358607286226663,6.083234643280893,1.4826848654046052,0.0
760.7303651825914,9.022482129915822,6.565893404982917,1.5997127270896099,0.0
760.9804902451226,9.66286554586379,7.031448244410418,1.7126670159067048,0.0
761.2306153076538,10.267734166904953,7.471102417993828,1.819365259489619,0.0
761.4807403701851,10.825277719295935,7.876209614618453,1.9176657523304284,0.0
761.7308654327164,11.324323307233264,8.238579514311382,2.0055396473986167,0.0
761.9809904952476,11.754767848004859,8.550789037294484,2.0811445640438353,0.0
762.2311155577789,12.10799903107443,8.806484971714294,2.1428961923513072,0.0
762.4812406203102,12.37728488927398,9.000663483119727,2.189534335525347,0.0
762.7313656828414,12.558112972130145,9.12991269666856,2.2201800108480456,0.0
762.9814907453726,12.648462155276416,9.192606071484947,2.2343806178021763,0.0
763.2316158079041,12.648993167971097,9.189036554710157,2.2321407538701825,0.0
763.4817408704353,12.563147753069954,9.121484349356175,2.2139369742806294,0.0
763.7318659329665,12.397150708575618,8.99421434783008,2.180715600087113,0.0
763.9819909954978,12.159913580206048,8.813402638037338,2.13387352115728,0.0
764.2321160580291,11.862843159241987,8.586994743140274,2.07522275726095,0.0
764.4822411205603,11.519561895641115,8.324501189961742,2.0069402760238657,0.0
764.7323661830916,11.145550625584976,8.036738435089067,1.9315051749690457,0.0
764.9824912456229,10.757726476246651,7.735524988713702,1.8516257836120127,0.0
765.2326163081541,10.373970381386332,7.433343707457568,1.7701595141676136,0.0
765.4827413706854,10.012619346532732,7.142981691358535,1.690028386432968,0.0
765.7328664332167,9.691938554883828,6.877159093003657,1.6141330903705284,0.0
765.9829914957479,9.429587784543946,6.6481575556890835,1.5452682585520479,0.0
766.2331165582791,9.24209563431226,6.46745810201522,1.486041338642838,0.0
766.4832416208104,9.144353957318508,6.345397264174718,1.438797126055745,0.0
766.7333666833417,9.149143883496915,6.290849239064646,1.4055496797754148,0.0
766.9834917458729,9.26670402356996,6.310940987784516,1.3879230345121578,0.0
767.2336168084042,9.504350962996243,6.41080655189579,1.3871018634527739,0.0
767.4837418709355,9.866161959667497,6.593386439403774,1.4037930482805874,0.0
767.7338669334667,10.352729750391006,6.859277691171718,1.4381989730584306,0.0
767.983991995998,10.960999367728924,7.206640067768852,1.4900032591814014,0.0
768.2341170585294,11.684196636531707,7.631163551872025,1.5583695728992746,0.0
768.4842421210606,12.511857303587579,8.126101877656403,1.641954031979223,0.0
768.7343671835918,13.42996431619445,8.682375917504476,1.7389315803257022,0.0
768.9844922461232,14.421198423620055,9.28874935097992,1.8470364599627582,0.0
769.2346173086544,15.465303936639593,9.932077039454011,1.9636165696833436,0.0
769.4847423711856,16.539567167445842,10.597623932793562,2.085701053613249,0.0
769.7348674337169,17.619399936671066,11.269449225095418,2.2100799217572513,0.0
769.9849924962482,18.679014854699478,11.93084701985047,2.3333938956297224,0.0
770.2351175587794,19.69217324909127,12.564831198198064,2.4522320374115902,0.0
770.4852426213107,20.6329810851006,13.15464879634161,2.563234113921071,0.0
