mixture,concentration_percent,pressure_bar,wavelength_nm,experimental_ph_MeV_nm
ArN2,0.1,1,401.84,16.321802903670648
ArN2,0.1,1,402.19,16.34514218132703
ArN2,0.1,1,402.55,16.34514218132703
ArN2,0.1,1,402.91,16.34488241616351
ArN2,0.1,1,403.26,16.202270579187292
ArN2,0.1,1,403.62,15.923267448290924
ArN2,0.1,1,403.98,15.681079727499357
ArN2,0.1,1,404.34,15.580733331339916
ArN2,0.1,1,404.69,15.172357668324727
ArN2,0.1,1,405.05,14.706351400201175
ArN2,0.1,1,405.41,14.22378736980052
ArN2,0.1,1,405.76,14.189413415095853
ArN2,0.1,1,406.12,14.020393245474429
ArN2,0.1,1,406.48,13.738739903900616
ArN2,0.1,1,406.83,13.738739903900616
ArN2,0.1,1,407.19,13.042491165856955
ArN2,0.1,1,407.55,11.606351184877212
ArN2,0.1,1,407.9,10.671313259567613
ArN2,0.1,1,408.26,10.419700371847346
ArN2,0.1,1,408.62,8.651802041743382
ArN2,0.1,1,408.97,7.634455867197286
ArN2,0.1,1,409.33,5.552148538777507
ArN2,0.1,1,409.68,4.164387005167862
ArN2,0.1,1,410.04,3.3950246109099638
ArN2,0.1,1,410.4,2.8344476399407577
ArN2,0.1,1,410.75,2.0566474613004018
ArN2,0.1,1,411.11,1.6115228989268877
ArN2,0.1,1,411.47,1.5300345671296243
ArN2,0.1,1,411.82,1.5300345671296243
ArN2,0.1,1,412.18,1.5046242387176625
ArN2,0.1,1,412.53,1.444227358377304
ArN2,0.1,1,412.89,1.444227358377304
ArN2,0.1,1,413.25,1.2466672926790416
ArN2,0.1,1,413.6,1.4749590570433004
ArN2,0.1,1,413.96,1.5046242387176625
ArN2,0.1,1,414.31,1.444227358377304
ArN2,0.1,1,414.67,1.4749590570433004
ArN2,0.1,1,415.03,1.5782782868146348
ArN2,0.1,1,415.38,1.5782782868146348
ArN2,0.1,1,415.74,1.5782782868146348
ArN2,0.1,1,416.09,1.6935101133535757
ArN2,0.1,1,416.45,1.7514753850003115
ArN2,0.1,1,416.8,1.8412295792722966
ArN2,0.1,1,417.16,2.0457772932167284
ArN2,0.1,1,417.51,2.0457772932167284
ArN2,0.1,1,417.87,2.1239666074372456
ArN2,0.1,1,418.23,2.187013578456069
ArN2,0.1,1,418.58,2.1239666074372456
ArN2,0.1,1,418.94,2.1239666074372456
ArN2,0.1,1,419.29,2.0896882305226683
ArN2,0.1,1,419.65,2.139497183690119
ArN2,0.1,1,420.0,2.3524934068276324
