mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm
ArN2,model,0.1,1,342.2711355677839,8.433273889952494
ArN2,model,0.1,1,342.52126063031517,7.439591667516015
ArN2,model,0.1,1,342.7713856928464,6.550716909558871
ArN2,model,0.1,1,343.0215107553777,5.7632160889699895
ArN2,model,0.1,1,343.271635817909,5.073307062573246
ArN2,model,0.1,1,343.52176088044024,4.4770355579547525
ArN2,model,0.1,1,343.7718859429715,3.9704373549174865
ArN2,model,0.1,1,344.02201100550275,3.5496835625561394
ArN2,model,0.1,1,344.272136068034,3.2112069675069455
ArN2,model,0.1,1,344.5222611305653,2.951807956382417
ArN2,model,0.1,1,344.77238619309657,2.7687389869591588
ArN2,model,0.1,1,345.0225112556278,2.6597669953372636
ArN2,model,0.1,1,345.2726363181591,2.6232134822685875
ArN2,model,0.1,1,345.5227613806903,2.6579723278505103
ArN2,model,0.1,1,345.77288644322164,2.763505649976501
ArN2,model,0.1,1,346.0230115057529,2.9398182608052914
ArN2,model,0.1,1,346.27313656828414,3.187411500628747
ArN2,model,0.1,1,346.5232616308154,3.5072174532782956
ArN2,model,0.1,1,346.77338669334665,3.9005147836271266
ArN2,model,0.1,1,347.02351175587796,4.368827695342077
ArN2,model,0.1,1,347.2736368184092,4.913809791909795
ArN2,model,0.1,1,347.52376188094047,5.537114938040365
ArN2,model,0.1,1,347.7738869434717,6.240257559120644
ArN2,model,0.1,1,348.024012006003,7.024465175919075
ArN2,model,0.1,1,348.2741370685343,7.890526337955989
ArN2,model,0.1,1,348.52426213106554,8.838637475290211
ArN2,model,0.1,1,348.7743871935968,9.868252514801508
ArN2,model,0.1,1,349.02451225612805,10.97793938065182
ArN2,model,0.1,1,349.2746373186593,12.165247695498033
ArN2,model,0.1,1,349.5247623811906,13.426592095290639
ArN2,model,0.1,1,349.77488744372187,14.757155543930294
ArN2,model,0.1,1,350.0250125062531,16.150816865734715
ArN2,model,0.1,1,350.2751375687844,17.600106389441947
ArN2,model,0.1,1,350.5252626313157,19.09619310945161
ArN2,model,0.1,1,350.77538769384694,20.628906117562032
ArN2,model,0.1,1,351.0255127563782,22.186792249210928
ArN2,model,0.1,1,351.27563781890944,23.757210938275733
ArN2,model,0.1,1,351.52576288144076,25.326466208542268
ArN2,model,0.1,1,351.775887943972,26.879974580586094
ArN2,model,0.1,1,352.02601300650326,28.402466479616745
ArN2,model,0.1,1,352.2761380690345,29.878217537721174
ArN2,model,0.1,1,352.52626313156577,31.291305041381133
ArN2,model,0.1,1,352.7763881940971,32.62588373172856
ArN2,model,0.1,1,353.02651325662833,33.86647426916975
ArN2,model,0.1,1,353.2766383191596,34.99825697035466
ArN2,model,0.1,1,353.52676338169084,36.007362952314324
ArN2,model,0.1,1,353.7768884442221,36.881154605793824
ArN2,model,0.1,1,354.0270135067534,37.608487386740464
ArN2,model,0.1,1,354.27713856928466,38.17994526917819
ArN2,model,0.1,1,354.5272636318159,38.58804283925923
ArN2,model,0.1,1,354.77738869434717,38.8273879112813
ArN2,model,0.1,1,355.0275137568784,38.894799681813566
ArN2,model,0.1,1,355.27763881940973,38.78937876660001
ArN2,model,0.1,1,355.527763881941,38.51252693621133
ArN2,model,0.1,1,355.77788894447224,38.067915923178944
ArN2,model,0.1,1,356.0280140070035,37.46140625409218
ArN2,model,0.1,1,356.27813906953475,36.70091860219756
ArN2,model,0.1,1,356.52826413206606,35.796261598588266
ArN2,model,0.1,1,356.7783891945973,34.75892132707798
ArN2,model,0.1,1,357.02851425712856,33.60181881072754
ArN2,model,0.1,1,357.2786393196598,32.33904263786462
ArN2,model,0.1,1,357.52876438219107,30.98556444478577
ArN2,model,0.1,1,357.7788894447224,29.556945256146207
ArN2,model,0.1,1,358.02901450725363,28.069040680125873
ArN2,model,0.1,1,358.2791395697849,26.537712674178266
ArN2,model,0.1,1,358.52926463231614,24.978555060542178
ArN2,model,0.1,1,358.77938969484745,23.406639210796875
ArN2,model,0.1,1,359.0295147573787,21.836285375881953
ArN2,model,0.1,1,359.27963981990996,20.28086405826734
ArN2,model,0.1,1,359.5297648824412,18.752630655886644
ArN2,model,0.1,1,359.77988994497247,17.262595403338853
ArN2,model,0.1,1,360.0300150075038,15.820429443543313
ArN2,model,0.1,1,360.28014007003503,14.43440672749689
ArN2,model,0.1,1,360.5302651325663,13.111380400446299
ArN2,model,0.1,1,360.78039019509754,11.85679142205057
ArN2,model,0.1,1,361.03051525762885,10.674706410290652
