mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm,experimental_scale,normalisation_reference
ArCF4,model,0.1,1.0,234.51725862931465,9.664190233701481,1.0,none
ArCF4,model,0.1,1.0,234.81740870435218,9.614572798082744,1.0,none
ArCF4,model,0.1,1.0,235.1175587793897,9.564648480988149,1.0,none
ArCF4,model,0.1,1.0,235.41770885442722,9.514423520227396,1.0,none
ArCF4,model,0.1,1.0,235.71785892946474,9.463904221262377,1.0,none
ArCF4,model,0.1,1.0,236.01800900450226,9.413096956525584,1.0,none
ArCF4,model,0.1,1.0,236.31815907953978,9.362008164649083,1.0,none
ArCF4,model,0.1,1.0,236.61830915457728,9.310644349603752,1.0,none
ArCF4,model,0.1,1.0,236.91845922961483,9.259012079748786,1.0,none
ArCF4,model,0.1,1.0,237.21860930465232,9.207117986791644,1.0,none
ArCF4,model,0.1,1.0,237.51875937968984,9.154968764658625,1.0,none
ArCF4,model,0.1,1.0,237.81890945472736,9.102571168276713,1.0,none
ArCF4,model,0.1,1.0,238.11905952976488,9.049932012267229,1.0,none
ArCF4,model,0.1,1.0,238.4192096048024,8.997058169552158,1.0,none
ArCF4,model,0.1,1.0,238.71935967983993,8.943956569874153,1.0,none
ArCF4,model,0.1,1.0,239.01950975487745,8.890634198231329,1.0,none
ArCF4,model,0.1,1.0,239.31965982991497,8.83709809322817,1.0,none
ArCF4,model,0.1,1.0,239.6198099049525,8.783355345343994,1.0,none
ArCF4,model,0.1,1.0,239.91995997998998,8.729413095120604,1.0,none
ArCF4,model,0.1,1.0,240.22011005502753,8.67527853127078,1.0,none
ArCF4,model,0.1,1.0,240.52026013006503,8.620958888709655,1.0,none
ArCF4,model,0.1,1.0,240.82041020510255,8.566461446510743,1.0,none
ArCF4,model,0.1,1.0,241.12056028014007,8.511793525788988,1.0,none
ArCF4,model,0.1,1.0,241.4207103551776,8.456962487512893,1.0,none
ArCF4,model,0.1,1.0,241.7208604302151,8.401975730248193,1.0,none
ArCF4,model,0.1,1.0,242.02101050525263,8.346840687835458,1.0,none
ArCF4,model,0.1,1.0,242.32116058029015,8.291564827004228,1.0,none
ArCF4,model,0.1,1.0,242.62131065532768,8.236155644926274,1.0,none
ArCF4,model,0.1,1.0,242.9214607303652,8.180620666710743,1.0,none
ArCF4,model,0.1,1.0,243.2216108054027,8.124967442843944,1.0,none
ArCF4,model,0.1,1.0,243.52176088044024,8.069203546576642,1.0,none
ArCF4,model,0.1,1.0,243.82191095547773,8.013336571261846,1.0,none
ArCF4,model,0.1,1.0,244.12206103051525,7.95737412764589,1.0,none
